Name	Consensus length	Total read count	Single reads	Reads in pairs	Average coverage	Reference sequence	Reference length	Reference common name	Reference latin name
seed-8982	13251	226	26	200	2.148	seed-8982	15550		
seed-8984	1348	80	38	42	5.262	seed-8984	2182		
seed-9277	17177	5160	4156	1004	32.287	seed-9277	22523		
seed-9397	3651	105	27	78	4.029	seed-9397	3846		
seed-9427	12481	415	213	202	3.755	seed-9427	15217		
seed-9597	11826	233	25	208	2.373	seed-9597	14643		
seed-9658	14678	269	53	216	2.395	seed-9658	16661		
seed-9677	4482	117	57	60	2.726	seed-9677	6093		
seed-9746	6678	202	102	100	3.598	seed-9746	7681		
seed-10196	11094	6781	5721	1060	78.732	seed-10196	12266		
seed-10273	10076	302	58	244	4.031	seed-10273	11108		
seed-10560	8499	165	29	136	2.633	seed-10560	9320		
seed-10561	9532	497	365	132	4.986	seed-10561	12973		
seed-10579	8632	136	16	120	1.785	seed-10579	11417		
seed-10600	4077	187	127	60	5.784	seed-10600	4663		
seed-10667	10718	5231	4315	916	57.669	seed-10667	12285		
seed-10724	19796	11516	9772	1744	72.306	seed-10724	22825		
seed-10948	8083	1135	975	160	14.999	seed-10948	10776		
seed-11008	15334	461	191	270	3.471	seed-11008	19619		
seed-11134	7196	1252	1048	204	22.271	seed-11134	8040		
seed-11222	4598	77	27	50	1.684	seed-11222	6792		
